id_namespace	local_id	project_id_namespace	project_local_id	persistent_id	creation_time	size_in_bytes	uncompressed_size_in_bytes	sha256	md5	filename	file_format	compression_format	data_type	assay_type	analysis_type	mime_type	bundle_collection_id_namespace	bundle_collection_local_id	dbgap_study_id	access_url
https://www.metabolomicsworkbench.org/	ST000001.zip	https://www.metabolomicsworkbench.org/	PR000001			484399			00fbe207e5e0b96301b593ab784d6825	ST000001.zip	format:3987	format:3987	data:2536	OBI:0003110	OBI:0200199	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000001.zip
https://www.metabolomicsworkbench.org/	ST000002.zip	https://www.metabolomicsworkbench.org/	PR000002			678204			3613ea550af668c6eaa9e6777468a14c	ST000002.zip	format:3987	format:3987	data:2536	OBI:0003110	OBI:0200199	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000002.zip
https://www.metabolomicsworkbench.org/	ST000003.zip	https://www.metabolomicsworkbench.org/	PR000003			5657305685			ab382f52300973ed92052514f173f61a	ST000003.zip	format:3987	format:3987	data:2536	OBI:0003097	OBI:0200085	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000003.zip
https://www.metabolomicsworkbench.org/	ST000004.zip	https://www.metabolomicsworkbench.org/	PR000004			45389			62d3a8a46e00b7d6d9f9aced1bd31c47	ST000004.zip	format:3987	format:3987	data:2536	OBI:0003097	OBI:0200085	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000004.zip
https://www.metabolomicsworkbench.org/	ST000005.zip	https://www.metabolomicsworkbench.org/	PR000004			54143			301127a1cf8a45676ae323fa5882d803	ST000005.zip	format:3987	format:3987	data:2536	OBI:0000470	OBI:0200085	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000005.zip
https://www.metabolomicsworkbench.org/	ST000006.zip	https://www.metabolomicsworkbench.org/	PR000005			544593			84a071807fdea59324ca2942a28373a5	ST000006.zip	format:3987	format:3987	data:2536	OBI:0003110	OBI:0200199	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000006.zip
https://www.metabolomicsworkbench.org/	ST000007.zip	https://www.metabolomicsworkbench.org/	PR000006			1765607			4d708cb1831c1d6cf06ebd5c3c6711b6	ST000007.zip	format:3987	format:3987	data:2536	OBI:0003110	OBI:0200199	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000007.zip
https://www.metabolomicsworkbench.org/	ST000009.zip	https://www.metabolomicsworkbench.org/	PR000008			8321401			984a275ac38af9ca1af033ddb1c9fd24	ST000009.zip	format:3987	format:3987	data:2536	OBI:0003097	OBI:0200085	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000009.zip
https://www.metabolomicsworkbench.org/	ST000010.zip	https://www.metabolomicsworkbench.org/	PR000009			2021278			0c188ce7ca4885d405d184a867120b66	ST000010.zip	format:3987	format:3987	data:2536	OBI:0003097	OBI:0200085	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000010.zip
https://www.metabolomicsworkbench.org/	ST000011.zip	https://www.metabolomicsworkbench.org/	PR000010			2229293			72acc01d2ed7c69517f1627d2ba65359	ST000011.zip	format:3987	format:3987	data:2536	OBI:0003097	OBI:0200085	application/zip				https://www.metabolomicsworkbench.org/studydownload/ST000011.zip
