file_id_namespace	file_local_id	collection_id_namespace	collection_local_id
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/80034885225_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/80035995233_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90217015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90218015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90222015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90223015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90225015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90227015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90229015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90232015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90237015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90239015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90245015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90248015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90251015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90252015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90254015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90258015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90259015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90265015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90266015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
tag:motrpac-data.org,2023:	pass1b-06/epigenomics/t52-hippocampus/atac-seq/bam/90267015204_R1.trim.bam	tag:motrpac-data.org,2023:	motrpac-pass1b-06-epigenomics
